product_id,product_name,weight,brand_name,subcategory_name,category_name
10148,Anivarya Black Salt (Kala Namak),250 GM,Anivarya,Salt & Sugar,Cooking Delight
10156,Anivarya Rock Salt (Sendha Namak),250 GM,Anivarya,Salt & Sugar,Cooking Delight
9196,Anivarya Honey (Natural / Unprocessed),500 GM,Anivarya,Jams & Syrups,Packaged Food
10147,Anivarya Natural Almonds / Badam Giri,150 GM,Anivarya,Dry Fruits & Nuts,Cooking Delight
9851,Anivarya Raw Peanuts,200 GM,Anivarya,Dry Fruits & Nuts,Cooking Delight
10157,Anivarya Sabudana Sago,200 GM,Anivarya,Indian Breakfast,Breakfast
9852,Anivarya Roasted Flax Seeds,150 GM,Anivarya,Health Foods,Packaged Food
9857,Anivarya Sweet Puffed Rice (Meethi Kheel),100 GM,Anivarya,Chips & Popcorns,Snacks
9188,Anivarya Pure Amla Powder,200 GM,Anivarya,Health Foods,Packaged Food
9854,Anivarya Sesame Seeds White Safed Til,150 GM,Anivarya,Health Foods,Packaged Food
9838,Anivarya Ajwain (Carom Seeds),100 GM,Anivarya,Spices & Pastes,Cooking Delight
9839,Anivarya Black Mustard Seeds (Kali Sarson),200 GM,Anivarya,Spices & Pastes,Cooking Delight
9841,Anivarya Black Pepper Whole,100 GM,Anivarya,Spices & Pastes,Cooking Delight
9842,Anivarya Brown Cardamom (Badi Elaichi),50 GM,Anivarya,Spices & Pastes,Cooking Delight
9843,Anivarya Brown Mustard Seeds (Rai),200 GM,Anivarya,Spices & Pastes,Cooking Delight
9844,Anivarya Corriander Whole,100 GM,Anivarya,Spices & Pastes,Cooking Delight
9845,Anivarya Cumin Seeds (Jeera),100 GM,Anivarya,Spices & Pastes,Cooking Delight
9846,Anivarya Fennel Seeds (Saunf Chhoti),150 GM,Anivarya,Spices & Pastes,Cooking Delight
9847,Anivarya Fenugreek Seeds (Methi Dana),200 GM,Anivarya,Spices & Pastes,Cooking Delight
9848,Anivarya Khus Khus (Poppy Seeds),100 GM,Anivarya,Spices & Pastes,Cooking Delight
9855,Anivarya Small Green Cardamom (Chhoti Elaichi),50 GM,Anivarya,Spices & Pastes,Cooking Delight
9858,Anivarya Clove (Laung),50 GM,Anivarya,Spices & Pastes,Cooking Delight
9859,Anivarya Fennel Seed (Saunf Moti),125 GM,Anivarya,Spices & Pastes,Cooking Delight
10153,Anivarya Red Chilli Whole (Sabut/Stemless/Full Cut/Teja),50 GM,Anivarya,Spices & Pastes,Cooking Delight
10159,"Anivarya Sweet Tamarind/Imli (Seedless, Mukassar)",150 GM,Anivarya,Spices & Pastes,Cooking Delight
9176,Anivarya Mango Dry Pickle Without Preservative,400 GM,Anivarya,Pickles,Packaged Food
9180,Anivarya Mango Pickle,450 GM,Anivarya,Pickles,Packaged Food
9193,Anivarya Mango Chutney,500 GM,Anivarya,Pickles,Packaged Food
10155,Anivarya Roasted Peanuts Salted,150 GM,Anivarya,Namkeens,Snacks
9182,Anivarya Green Chilli Pickle,450 GM,Anivarya,Pickles,Packaged Food
9185,Anivarya Turmeric Powder,200 GM,Anivarya,Spices & Pastes,Cooking Delight
9594,Anivarya Hing Silver,10 GM,Anivarya,Spices & Pastes,Cooking Delight
