lead_id,age,gender,current_city,current_education,parent_occupation,lead_gen_source,demo_watched_date,language,watched_percentage,reasons_for_not_interested_in_demo,reasons_for_not_interested_to_consider,reasons_for_not_interested_to_convert
USR1001,16,FEMALE,Hyderabad,Intermediate,Private Employee,social_media,,,,No time for student,,
USR1002,20,MALE,Bengaluru,B.Tech,Business,user_referrals,1/4/2022,Telugu,42.0,,,
USR1003,20,FEMALE,Visakhapatnam,B.Tech,Lawyer,user_referrals,1/7/2022,Telugu,81.0,,No time for student,
USR1004,16,MALE,Mumbai,Intermediate,IT Employee,user_referrals,1/2/2022,Telugu,35.0,,Wants offline classes,
USR1005,16,MALE,Chennai,Intermediate,Government Employee,user_referrals,1/3/2022,Hindi,38.0,,Can't afford,
USR1006,16,MALE,Kochi,Intermediate,Doctor,user_referrals,1/12/2022,Hindi,54.0,,Student not interested in domain,
USR1007,16,FEMALE,Hyderabad,Intermediate,Professor/Faculty,social_media,1/11/2022,English,52.0,,,
USR1008,20,MALE,Hyderabad,B.Tech,Business,website,1/8/2022,Telugu,41.0,,Will join in final year,
USR1009,20,MALE,Hyderabad,B.Tech,Lawyer,website,1/10/2022,Telugu,50.0,,Student not interested in domain,
USR1010,20,FEMALE,Hyderabad,B.Tech,IT Employee,website,1/12/2022,Telugu,48.0,,Will join in final year,
USR1011,20,FEMALE,Hyderabad,B.Tech,Private Employee,website,1/17/2022,Telugu,44.0,,,
USR1012,20,FEMALE,Hyderabad,B.Tech,Business,social_media,1/16/2022,Telugu,46.0,,,
USR1013,21,FEMALE,Hyderabad,Degree,Lawyer,SEO,1/18/2022,Telugu,50.0,,,
USR1014,22,MALE,Hyderabad,Looking for Job,IT Employee,SEO,1/18/2022,Telugu,51.0,,Wants offline classes,
USR1015,25,FEMALE,Hyderabad,10th Completed,Government Employee,SEO,1/18/2022,Hindi,44.0,,Wants offline classes,
USR1016,18,MALE,Hyderabad,B.Tech,Business,SEO,2/21/2022,English,47.0,,Can't afford,
USR1017,24,MALE,Hyderabad,Looking for Job,Lawyer,social_media,2/19/2022,English,42.0,,,
USR1019,22,FEMALE,Bengaluru,Looking for Job,Government Employee,social_media,2/21/2022,Hindi,38.0,,Can't afford,
USR1020,25,MALE,Kochi,10th Completed,Doctor,social_media,2/21/2022,English,36.0,,Wants offline classes,
USR1021,18,FEMALE,Hyderabad,B.Tech,Professor/Faculty,social_media,1/2/2022,English,100.0,,Student not interested in domain,
USR1022,24,FEMALE,Hyderabad,Looking for Job,Business,social_media,1/4/2022,Telugu,5.0,,,
USR1023,21,FEMALE,Hyderabad,Degree,Lawyer,social_media,1/1/2022,Telugu,52.0,,,
USR1024,22,FEMALE,Kochi,Looking for Job,IT Employee,social_media,1/2/2022,Telugu,53.0,,Can't afford,
USR1025,25,FEMALE,Kochi,Looking for Job,Private Employee,email_marketing,1/6/2022,English,8.0,,,
USR1026,18,MALE,Kochi,B.Tech,Business,SEO,1/10/2022,English,10.0,,No time for student,
USR1027,24,FEMALE,Hyderabad,Looking for Job,Lawyer,SEO,1/9/2022,English,11.0,,,Can't afford
USR1028,18,FEMALE,Hyderabad,B.Tech,IT Employee,user_referrals,1/10/2022,Telugu,50.0,,Wants offline classes,
USR1029,24,FEMALE,Hyderabad,Looking for Job,Government Employee,social_media,1/10/2022,Telugu,14.0,,Can't afford,
USR1030,21,FEMALE,Kochi,Degree,Government Employee,email_marketing,1/11/2022,Telugu,17.0,,Student not interested in domain,
USR1031,22,FEMALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/17/2022,English,20.0,,,
USR1032,25,MALE,Bengaluru,Looking for Job,Government Employee,email_marketing,1/16/2022,English,23.0,,,
USR1033,18,FEMALE,Bengaluru,B.Tech,Government Employee,social_media,1/21/2022,English,55.0,,,
USR1034,16,MALE,Bengaluru,Intermediate,Government Employee,social_media,1/19/2022,English,73.0,,Can't afford,
USR1035,20,MALE,Visakhapatnam,B.Tech,Government Employee,email_marketing,1/17/2022,English,26.0,,No time for student,
USR1036,20,MALE,Visakhapatnam,B.Tech,Government Employee,SEO,2/20/2022,English,29.0,,Student not interested in domain,
USR1037,21,FEMALE,Kochi,Degree,Government Employee,SEO,2/22/2022,English,32.0,,,
USR1038,22,MALE,Hyderabad,Looking for Job,Government Employee,social_media,2/21/2022,English,53.0,,Can't afford,
USR1039,25,FEMALE,Bengaluru,Looking for Job,Government Employee,user_referrals,2/21/2022,English,56.0,,Can't afford,
USR1040,18,FEMALE,Visakhapatnam,B.Tech,Government Employee,website,2/25/2022,English,35.0,,Wants offline classes,
USR1041,24,FEMALE,Mumbai,Looking for Job,Government Employee,SEO,1/3/2022,English,38.0,,Can't afford,
USR1042,18,FEMALE,Chennai,B.Tech,Government Employee,email_marketing,1/1/2022,Hindi,41.0,,,
USR1043,24,FEMALE,Kochi,Looking for Job,IT Employee,social_media,1/1/2022,English,44.0,,Wants offline classes,
USR1044,21,MALE,Bengaluru,Degree,Government Employee,user_referrals,1/3/2022,English,59.0,,Can't afford,
USR1045,22,FEMALE,Visakhapatnam,Looking for Job,Business,website,1/4/2022,English,47.0,,Can't afford,
USR1046,25,FEMALE,Mumbai,Looking for Job,Lawyer,SEO,1/10/2022,English,50.0,,Can't afford,
USR1047,18,FEMALE,Chennai,B.Tech,IT Employee,email_marketing,1/8/2022,Hindi,55.0,,,
USR1048,16,FEMALE,Kochi,Intermediate,Business,social_media,,,,Student not interested in domain,,
USR1049,20,FEMALE,Visakhapatnam,B.Tech,Business,user_referrals,,,,No time for student,,
