jnr_sm_id,lead_id,lead_stage,call_done_date,call_status,call_reason
JNR1001MG,USR1001,lead,1/2/2022,successful,lead_introduction
JNR1001MG,USR1001,lead,1/2/2022,successful,demo_schedule
JNR1001MG,USR1002,lead,1/3/2022,successful,lead_introduction
JNR1001MG,USR1002,lead,1/4/2022,successful,demo_schedule
JNR1001MG,USR1002,awareness,1/5/2022,successful,post_demo_followup
JNR1001MG,USR1002,awareness,1/6/2022,successful,followup_for_consideration
JNR1001MG,USR1002,consideration,1/7/2022,successful,interested_for_conversion
JNR1001MG,USR1002,consideration,1/7/2022,successful,followup_for_conversion
JNR1001MG,USR1002,consideration,1/7/2022,successful,followup_for_conversion
JNR1001MG,USR1002,conversion,1/7/2022,successful,successful_conversion
JNR1001MG,USR1003,lead,1/4/2022,unsuccessful,lead_introduction
JNR1001MG,USR1003,lead,1/5/2022,successful,lead_introduction
JNR1001MG,USR1003,lead,1/7/2022,successful,demo_schedule
JNR1001MG,USR1003,awareness,1/8/2022,successful,post_demo_followup
JNR1001MG,USR1003,awareness,1/9/2022,successful,followup_for_consideration
JNR1001MG,USR1004,lead,1/1/2022,successful,lead_introduction
JNR1001MG,USR1004,lead,1/2/2022,successful,demo_schedule
JNR1001MG,USR1004,awareness,1/3/2022,successful,post_demo_followup
JNR1001MG,USR1005,lead,1/1/2022,unsuccessful,lead_introduction
JNR1001MG,USR1005,lead,1/2/2022,successful,lead_introduction
JNR1001MG,USR1005,lead,1/3/2022,successful,demo_schedule
JNR1001MG,USR1005,awareness,1/4/2022,successful,post_demo_followup
JNR1001MG,USR1006,lead,1/10/2022,successful,lead_introduction
JNR1001MG,USR1006,lead,1/12/2022,successful,demo_schedule
JNR1001MG,USR1006,lead,1/13/2022,successful,demo_not_attended
JNR1001MG,USR1006,awareness,1/13/2022,successful,post_demo_followup
JNR1001MG,USR1007,lead,1/11/2022,successful,lead_introduction
JNR1001MG,USR1007,lead,1/11/2022,successful,demo_schedule
JNR1001MG,USR1007,awareness,1/12/2022,successful,post_demo_followup
JNR1001MG,USR1007,awareness,1/13/2022,successful,followup_for_consideration
JNR1001MG,USR1007,consideration,1/14/2022,successful,interested_for_conversion
JNR1001MG,USR1007,consideration,1/14/2022,successful,followup_for_conversion
JNR1001MG,USR1007,consideration,1/14/2022,successful,followup_for_conversion
JNR1001MG,USR1007,conversion,1/14/2022,successful,successful_conversion
JNR1001MG,USR1008,lead,1/8/2022,unsuccessful,lead_introduction
JNR1001MG,USR1008,lead,1/8/2022,successful,lead_introduction
JNR1001MG,USR1008,lead,1/8/2022,successful,demo_schedule
JNR1001MG,USR1008,awareness,1/8/2022,successful,post_demo_followup
JNR1001MG,USR1009,lead,1/8/2022,successful,lead_introduction
JNR1001MG,USR1009,lead,1/8/2022,successful,demo_schedule
JNR1001MG,USR1009,awareness,1/10/2022,successful,post_demo_followup
JNR1001MG,USR1010,lead,1/8/2022,unsuccessful,lead_introduction
JNR1001MG,USR1010,lead,1/9/2022,successful,lead_introduction
JNR1001MG,USR1010,lead,1/11/2022,successful,demo_schedule
JNR1001MG,USR1010,lead,1/14/2022,successful,demo_not_attended
JNR1001MG,USR1010,awareness,1/14/2022,successful,post_demo_followup
JNR1001MG,USR1011,lead,1/15/2022,successful,lead_introduction
JNR1001MG,USR1011,lead,1/16/2022,successful,demo_schedule
JNR1001MG,USR1011,lead,1/20/2022,unsuccessful,demo_not_attended
JNR1001MG,USR1011,lead,1/20/2022,successful,demo_not_attended
JNR1001MG,USR1011,awareness,1/20/2022,successful,post_demo_followup
JNR1001MG,USR1011,consideration,1/21/2022,unsuccessful,interested_for_conversion
JNR1001MG,USR1011,consideration,1/22/2022,successful,followup_for_conversion
JNR1001MG,USR1011,consideration,1/21/2022,successful,interested_for_conversion
JNR1001MG,USR1011,conversion,1/22/2022,successful,successful_conversion
JNR1001MG,USR1012,lead,1/15/2022,successful,lead_introduction
JNR1001MG,USR1012,lead,1/16/2022,successful,demo_schedule
JNR1001MG,USR1012,lead,1/17/2022,successful,demo_not_attended
JNR1001MG,USR1012,awareness,1/17/2022,successful,post_demo_followup
JNR1001MG,USR1012,consideration,1/18/2022,successful,interested_for_conversion
JNR1001MG,USR1012,consideration,1/19/2022,successful,followup_for_conversion
JNR1001MG,USR1012,consideration,1/18/2022,unsuccessful,interested_for_conversion
JNR1001MG,USR1012,conversion,1/19/2022,successful,successful_conversion
JNR1001MG,USR1013,lead,1/17/2022,unsuccessful,lead_introduction
JNR1001MG,USR1013,lead,1/18/2022,successful,lead_introduction
JNR1001MG,USR1013,lead,1/20/2022,unsuccessful,demo_schedule
JNR1001MG,USR1013,lead,1/18/2022,successful,demo_schedule
JNR1001MG,USR1013,lead,1/19/2022,successful,demo_not_attended
JNR1001MG,USR1013,awareness,1/19/2022,successful,post_demo_followup
JNR1001MG,USR1013,consideration,1/20/2022,unsuccessful,interested_for_conversion
JNR1001MG,USR1013,consideration,1/21/2022,successful,followup_for_conversion
JNR1001MG,USR1013,consideration,1/20/2022,successful,interested_for_conversion
JNR1001MG,USR1013,conversion,1/21/2022,successful,successful_conversion
JNR1001MG,USR1014,lead,1/17/2022,successful,lead_introduction
JNR1001MG,USR1014,lead,1/18/2022,successful,demo_schedule
JNR1001MG,USR1014,awareness,1/19/2022,successful,post_demo_followup
JNR1001MG,USR1015,lead,1/15/2022,unsuccessful,lead_introduction
JNR1001MG,USR1015,lead,1/16/2022,successful,lead_introduction
JNR1001MG,USR1015,lead,1/18/2022,successful,demo_schedule
JNR1001MG,USR1015,awareness,1/19/2022,successful,post_demo_followup
JNR1001MG,USR1015,awareness,1/20/2022,successful,followup_for_consideration
JNR1001MG,USR1016,lead,2/19/2022,successful,lead_introduction
JNR1001MG,USR1016,lead,2/19/2022,successful,demo_schedule
JNR1001MG,USR1016,awareness,2/21/2022,successful,post_demo_followup
JNR1001MG,USR1016,lead,2/21/2022,unsuccessful,demo_not_attended
JNR1001MG,USR1017,lead,2/19/2022,successful,lead_introduction
JNR1001MG,USR1017,lead,2/19/2022,successful,demo_schedule
JNR1001MG,USR1017,awareness,2/19/2022,successful,post_demo_followup
JNR1001MG,USR1017,awareness,2/20/2022,successful,followup_for_consideration
JNR1001MG,USR1017,consideration,2/21/2022,successful,interested_for_conversion
JNR1001MG,USR1017,consideration,2/21/2022,successful,followup_for_conversion
JNR1001MG,USR1017,consideration,2/21/2022,successful,followup_for_conversion
JNR1001MG,USR1017,conversion,2/21/2022,successful,successful_conversion
JNR1001MG,USR1018,lead,2/19/2022,unsuccessful,lead_introduction
JNR1001MG,USR1018,lead,2/19/2022,successful,lead_introduction
JNR1001MG,USR1018,lead,2/19/2022,successful,demo_schedule
JNR1001MG,USR1018,lead,2/22/2022,successful,demo_not_attended
JNR1001MG,USR1018,awareness,2/22/2022,successful,post_demo_followup
JNR1001MG,USR1019,lead,2/19/2022,successful,lead_introduction
JNR1001MG,USR1019,lead,2/21/2022,successful,demo_schedule
JNR1001MG,USR1019,awareness,2/21/2022,successful,post_demo_followup
JNR1001MG,USR1020,lead,2/19/2022,unsuccessful,lead_introduction
JNR1001MG,USR1020,lead,2/20/2022,successful,lead_introduction
JNR1001MG,USR1020,lead,2/21/2022,successful,demo_schedule
JNR1001MG,USR1020,awareness,2/22/2022,successful,post_demo_followup
JNR1002MG,USR1021,lead,1/1/2022,successful,lead_introduction
JNR1002MG,USR1021,lead,1/2/2022,successful,demo_schedule
JNR1002MG,USR1021,awareness,1/3/2022,successful,post_demo_followup
JNR1002MG,USR1022,lead,1/1/2022,successful,lead_introduction
JNR1002MG,USR1022,lead,1/3/2022,successful,demo_schedule
JNR1002MG,USR1022,awareness,1/7/2022,successful,post_demo_followup
JNR1002MG,USR1022,consideration,1/8/2022,successful,interested_for_conversion
JNR1002MG,USR1022,consideration,1/9/2022,successful,followup_for_conversion
JNR1002MG,USR1022,consideration,1/9/2022,successful,followup_for_conversion
JNR1002MG,USR1022,conversion,1/9/2022,successful,successful_conversion
JNR1002MG,USR1023,lead,1/1/2022,unsuccessful,lead_introduction
JNR1002MG,USR1023,lead,1/1/2022,successful,lead_introduction
JNR1002MG,USR1023,lead,1/1/2022,successful,demo_schedule
JNR1002MG,USR1023,lead,1/1/2022,successful,demo_not_attended
JNR1002MG,USR1023,awareness,1/1/2022,successful,post_demo_followup
JNR1002MG,USR1023,consideration,1/2/2022,successful,interested_for_conversion
JNR1002MG,USR1023,consideration,1/3/2022,successful,followup_for_conversion
JNR1002MG,USR1023,consideration,1/3/2022,successful,followup_for_conversion
JNR1002MG,USR1023,conversion,1/3/2022,successful,successful_conversion
JNR1002MG,USR1024,lead,1/2/2022,successful,lead_introduction
JNR1002MG,USR1024,lead,1/2/2022,successful,demo_schedule
JNR1002MG,USR1024,awareness,1/3/2022,successful,post_demo_followup
JNR1002MG,USR1025,lead,1/3/2022,unsuccessful,lead_introduction
JNR1002MG,USR1025,lead,1/4/2022,successful,lead_introduction
JNR1002MG,USR1025,lead,1/4/2022,successful,demo_schedule
JNR1002MG,USR1025,awareness,1/6/2022,successful,post_demo_followup
JNR1002MG,USR1025,awareness,1/7/2022,successful,followup_for_consideration
JNR1002MG,USR1025,consideration,1/8/2022,successful,interested_for_conversion
JNR1002MG,USR1025,awareness,1/7/2022,successful,followup_for_consideration
JNR1002MG,USR1025,consideration,1/8/2022,successful,followup_for_conversion
JNR1002MG,USR1025,conversion,1/8/2022,successful,successful_conversion
JNR1002MG,USR1026,lead,1/8/2022,successful,lead_introduction
JNR1002MG,USR1026,lead,1/10/2022,successful,demo_schedule
JNR1002MG,USR1026,awareness,1/10/2022,successful,post_demo_followup
JNR1002MG,USR1027,lead,1/8/2022,successful,lead_introduction
JNR1002MG,USR1027,lead,1/9/2022,successful,demo_schedule
JNR1002MG,USR1027,lead,1/10/2022,successful,demo_not_attended
JNR1002MG,USR1027,awareness,1/10/2022,successful,post_demo_followup
JNR1002MG,USR1027,consideration,1/11/2022,successful,interested_for_conversion
JNR1002MG,USR1027,consideration,1/12/2022,successful,followup_for_conversion
JNR1002MG,USR1027,consideration,1/11/2022,unsuccessful,followup_for_conversion
JNR1002MG,USR1027,consideration,1/12/2022,successful,followup_for_conversion
JNR1002MG,USR1028,lead,1/8/2022,unsuccessful,lead_introduction
JNR1002MG,USR1028,lead,1/8/2022,successful,lead_introduction
JNR1002MG,USR1028,lead,1/9/2022,successful,demo_schedule
JNR1002MG,USR1028,awareness,1/10/2022,successful,post_demo_followup
JNR1002MG,USR1029,lead,1/8/2022,successful,lead_introduction
JNR1002MG,USR1029,lead,1/10/2022,successful,demo_schedule
JNR1002MG,USR1029,awareness,1/10/2022,successful,post_demo_followup
JNR1002MG,USR1030,lead,1/8/2022,unsuccessful,lead_introduction
JNR1002MG,USR1030,lead,1/9/2022,successful,lead_introduction
JNR1002MG,USR1030,lead,1/10/2022,successful,demo_schedule
JNR1002MG,USR1030,awareness,1/11/2022,successful,post_demo_followup
JNR1002MG,USR1030,awareness,1/12/2022,successful,followup_for_consideration
JNR1002MG,USR1031,lead,1/15/2022,successful,lead_introduction
JNR1002MG,USR1031,lead,1/17/2022,successful,demo_schedule
JNR1002MG,USR1031,awareness,1/17/2022,successful,post_demo_followup
JNR1002MG,USR1031,awareness,1/18/2022,successful,followup_for_consideration
JNR1002MG,USR1031,consideration,1/19/2022,successful,interested_for_conversion
JNR1002MG,USR1031,consideration,1/19/2022,successful,followup_for_conversion
JNR1002MG,USR1031,consideration,1/19/2022,successful,followup_for_conversion
JNR1002MG,USR1031,conversion,1/19/2022,successful,successful_conversion
JNR1002MG,USR1032,lead,1/15/2022,successful,lead_introduction
JNR1002MG,USR1032,lead,1/15/2022,successful,demo_schedule
JNR1002MG,USR1032,awareness,1/16/2022,successful,post_demo_followup
JNR1002MG,USR1032,lead,1/16/2022,successful,demo_not_attended
JNR1002MG,USR1032,awareness,1/17/2022,successful,followup_for_consideration
